value,avg_tracks,max_tracks,recovered_tracks,tracks_lost,track_fragmentation,median_fps,median_ms,peak_ram_mb,runtime
30,10.191342428836112,19,514,707,271,7.250396428514731,115.89304101653397,426.31168,818.8517770767212
45,10.244399528381336,19,470,640,245,6.452734361206821,126.86675001168624,491.470848,920.0750670433044
60,10.263264274886307,19,448,602,230,5.82350867272501,133.79029097268358,376.75008,1019.4884791374207
90,10.287855819437427,19,437,569,203,7.260817154425376,120.89562497567385,361.693184,817.6765608787537
