value,avg_tracks,max_tracks,recovered_tracks,tracks_lost,track_fragmentation,median_fps,median_ms,peak_ram_mb,runtime
0.7,8.536129358261748,17,786,1517,973,7.266474615114476,120.1836250256747,362.070016,817.0399422645569
0.75,9.64914940205491,18,611,995,522,7.6328197516493805,118.6528749531135,470.827008,777.8252589702606
0.8,10.191342428836112,19,514,707,271,6.852594201304132,119.7999999858439,458.67008,866.3872141838074
0.85,10.36752568637359,19,432,547,173,7.871519584060142,115.14891596743837,457.76896,754.2381031513214
