timestamp,track_id,event,zone,duration,frame
8.34,155,ENTER_ZONE,Kitchen,0.00,250
8.44,30,EXIT_ZONE,Kitchen,1.00,253
8.54,128,EXIT_ZONE,Waiting,0.30,256
8.54,128,ENTER_ZONE,Dining,0.00,256
8.54,155,EXIT_ZONE,Kitchen,0.20,256
8.58,156,ENTER_ZONE,Kitchen,0.00,257
8.81,132,LINE_CROSSING,Exit Line,0.00,264
9.01,159,ENTER_ZONE,Dining,0.00,270
9.08,56,EXIT_ZONE,Dining,2.34,272
9.28,56,ENTER_ZONE,Dining,0.00,278
9.28,159,EXIT_ZONE,Dining,0.27,278
9.31,160,ENTER_ZONE,Dining,0.00,279
9.38,117,ENTER_ZONE,Kitchen,0.00,281
9.38,160,EXIT_ZONE,Dining,0.07,281
9.44,84,EXIT_ZONE,Kitchen,1.30,283
9.48,117,EXIT_ZONE,Kitchen,0.10,284
9.58,30,ENTER_ZONE,Kitchen,0.00,287
9.58,155,ENTER_ZONE,Kitchen,0.00,287
9.58,84,ENTER_ZONE,Kitchen,0.00,287
9.68,155,EXIT_ZONE,Kitchen,0.10,290
9.68,30,EXIT_ZONE,Kitchen,0.10,290
9.81,14,EXIT_ZONE,Kitchen,3.40,294
9.88,14,ENTER_ZONE,Kitchen,0.00,296
9.91,155,ENTER_ZONE,Kitchen,0.00,297
10.04,84,EXIT_ZONE,Kitchen,0.47,301
10.08,35,EXIT_ZONE,Kitchen,5.57,302
10.18,184,ENTER_ZONE,Kitchen,0.00,305
10.18,30,ENTER_ZONE,Kitchen,0.00,305
10.18,155,EXIT_ZONE,Kitchen,0.27,305
10.21,185,ENTER_ZONE,Dining,0.00,306
10.21,155,ENTER_ZONE,Kitchen,0.00,306
10.28,35,ENTER_ZONE,Kitchen,0.00,308
10.28,128,EXIT_ZONE,Dining,1.74,308
10.38,184,EXIT_ZONE,Kitchen,0.20,311
10.38,35,EXIT_ZONE,Kitchen,0.10,311
10.41,187,ENTER_ZONE,Kitchen,0.00,312
10.48,128,ENTER_ZONE,Dining,0.00,314
10.58,56,EXIT_ZONE,Dining,1.30,317
10.58,56,ENTER_ZONE,Kitchen,0.00,317
10.58,184,ENTER_ZONE,Kitchen,0.00,317
10.58,128,EXIT_ZONE,Dining,0.10,317
10.58,187,EXIT_ZONE,Kitchen,0.17,317
10.58,156,EXIT_ZONE,Kitchen,2.00,317
10.68,56,EXIT_ZONE,Kitchen,0.10,320
10.68,155,EXIT_ZONE,Kitchen,0.47,320
10.68,30,EXIT_ZONE,Kitchen,0.50,320
10.71,56,ENTER_ZONE,Dining,0.00,321
10.71,184,EXIT_ZONE,Kitchen,0.13,321
10.74,196,ENTER_ZONE,Kitchen,0.00,322
